,branch_ins,variance,College,Branch
50,1104107,2877811.817761332,IIT Madras,"Chemical Engineering (4 Years, B. Tech)"
119,1184181,2968540.5714285714,IIT Bhilai,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
83,1024128,2999242.1974025974,IIT Bombay,"Metallurgical Engineering and  Materials Science (4 Years, B. Tech)"
97,1124188,3092153.385281385,IIT Patna,"Artificial Intelligence and  Data Science (4 Years, B. Tech)"
113,1064107,3094695.78125,IIT Kharagpur,"Chemical Engineering (4 Years, B. Tech)"
175,1204111,3140279.2380952383,IIT Palakkad,"Electrical Engineering (4 Years, B. Tech)"
169,1015255,3147288.7,IIT Bhubaneswar,"Electrical Engineering and  M. Tech Power Electronics and  Drives(5 Years, B. Tech - M. Tech Dual Deg.)"
150,1214111,3212937.307359307,IIT Tirupati,"Electrical Engineering (4 Years, B. Tech)"
117,1104109,3466603.6564705884,IIT Madras,"Civil Engineering (4 Years, B. Tech)"
67,1094125,3502744.2468239563,IIT Kanpur,"Mechanical Engineering(4 Years, B. Tech)"
124,1134107,3526664.2907801424,IIT Roorkee,"Chemical Engineering (4 Years, B. Tech)"
122,1154111,3573793.6800356503,IIT Ropar,"Electrical Engineering (4 Years, B. Tech)"
102,1094101,3662353.5754985753,IIT Kanpur,"Aerospace Engineering(4 Years, B. Tech)"
121,1144114,3674379.43877551,IIT (ISM) Dhanbad,"Electronics and  Communication Engineering (4 Years, B. Tech)"
10,1104101,3751057.6666666665,IIT Madras,"Aerospace Engineering(4 Years, B. Tech)"
136,1074107,3790005.209523809,IIT Hyderabad,"Chemical Engineering (4 Years, B. Tech)"
87,1044105,3798769.992610838,IIT Delhi,"Biotechnology and  Biochemical Engineering (4 Years, B. Tech)"
109,1064101,3930583.83006536,IIT Kharagpur,"Aerospace Engineering(4 Years, B. Tech)"
138,1034111,3948575.0410052915,IIT Mandi,"Electrical Engineering (4 Years, B. Tech)"
41,1104117,4029898.2614379087,IIT Madras,"Engineering Physics (4 Years, B. Tech)"
152,1135608,4070859.7307692305,IIT Roorkee,"Economics(5 Years, Bachelor of Science and  Master of Science( Dual Degree))"
159,1104132,4073163.445075758,IIT Madras,"Naval Architecture and  Ocean Engineering (4 Years, B. Tech)"
201,107410B,4096496.9666666673,IIT Hyderabad,"Industrial Chemistry (4 Years, B. Tech)"
103,1064170,4098464.1166666667,IIT Kharagpur,"Industrial and  Systems Engineering(4 Years, B. Tech)"
172,1074109,4100752.9458874455,IIT Hyderabad,"Civil Engineering (4 Years, B. Tech)"
151,1114125,4102777.632352941,IIT Gandhinagar,"Mechanical Engineering(4 Years, B. Tech)"
107,1084111,4193730.339495798,IIT Jodhpur,"Electrical Engineering (4 Years, B. Tech)"
114,102520C,4196154.404411765,IIT Bombay,"Environmental Science and  Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
92,1074117,4206263.71969697,IIT Hyderabad,"Engineering Physics (4 Years, B. Tech)"
154,1124144,4213898.53030303,IIT Patna,"Electrical and  Electronics Engineering (4 Years, B. Tech)"
105,1074125,4219445.9547101455,IIT Hyderabad,"Mechanical Engineering(4 Years, B. Tech)"
156,1144111,4221922.30782313,IIT (ISM) Dhanbad,"Electrical Engineering (4 Years, B. Tech)"
186,1234111,4277874.492753624,IIT Dharwad,"Electrical Engineering (4 Years, B. Tech)"
127,1104127,4340062.435960591,IIT Madras,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
265,1015286,4382053.3,IIT Bhubaneswar,"Civil Engineering and  M. Tech. in Structural Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
153,1064127,4433052.244565218,IIT Kharagpur,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
94,1194124,4514948.083333332,IIT Goa,"Mathematics and  Computing(4 Years, B. Tech)"
157,1065210,4518316.247252747,IIT Kharagpur,"Chemical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
125,1115217,4586244.711111111,IIT Gandhinagar,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
177,1074161,4602248.0227272725,IIT Hyderabad,"Materials Science and  Metallurgical Engineering (4 Years, B. Tech)"
101,1145305,4631422.067193676,IIT (ISM) Dhanbad,"Mathematics and  Computing(5 Years, Integrated Master of Technology)"
73,1044136,4697395.129411764,IIT Delhi,"Production and  Industrial Engineering (4 Years, B. Tech)"
202,1084143,4750573.726315789,IIT Jodhpur,"Bio Engineering (4 Years, B. Tech)"
220,1144107,4935861.636363637,IIT (ISM) Dhanbad,"Chemical Engineering (4 Years, B. Tech)"
241,1234117,5029175.866666667,IIT Dharwad,"Engineering Physics (4 Years, B. Tech)"
167,1134194,5054002.928104575,IIT Roorkee,"Biosciences and  Bioengineering(4 Years, B. Tech)"
78,1134125,5060463.417796611,IIT Roorkee,"Mechanical Engineering(4 Years, B. Tech)"
123,1044139,5076136.839406207,IIT Delhi,"Textile Technology (4 Years, B. Tech)"
206,1135302,5109122.533333333,IIT Roorkee,"Geological Technology(5 Years, Integrated Master of Technology)"
77,1064125,5122257.923076924,IIT Kharagpur,"Mechanical Engineering(4 Years, B. Tech)"
140,1094123,5372553.744206773,IIT Kanpur,"Materials Science and  Engineering(4 Years, B. Tech)"
194,1105601,5428777.389705882,IIT Madras,"Biological Sciences(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
164,1064105,5544012.780952381,IIT Kharagpur,"Biotechnology and  Biochemical Engineering (4 Years, B. Tech)"
224,1194125,5570309.50877193,IIT Goa,"Mechanical Engineering(4 Years, B. Tech)"
95,1044193,5595461.6,IIT Delhi,"Materials Engineering(4 Years, B. Tech)"
131,1024201,5644395.829166667,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)"
163,1164107,5740006.0588837685,IIT (BHU) Varanasi,"Chemical Engineering (4 Years, B. Tech)"
134,1134109,5775405.909730849,IIT Roorkee,"Civil Engineering (4 Years, B. Tech)"
168,1174108,5867443.306153846,IIT Guwahati,"Chemical Science and  Technology(4 Years, B. Tech)"
