,branch_ins,median,College,Branch
116,1184110,4928.0,IIT Bhilai,"Computer Science and  Engineering(4 Years, B. Tech)"
118,1165223,5010.0,IIT (BHU) Varanasi,"Electrical Engineering with M. Tech. in Power Electronics(5 Years, B. Tech- M. Tech Dual Deg.)"
131,1024201,5037.5,IIT Bombay,"Chemistry(4 Years, Bachelor of Science)"
121,1144114,5116.0,IIT (ISM) Dhanbad,"Electronics and  Communication Engineering (4 Years, B. Tech)"
122,1154111,5123.5,IIT Ropar,"Electrical Engineering (4 Years, B. Tech)"
109,1064101,5125.0,IIT Kharagpur,"Aerospace Engineering(4 Years, B. Tech)"
40,1094204,5156.0,IIT Kanpur,"Physics (4 Years, Bachelor of Science)"
126,1064202,5373.5,IIT Kharagpur,"Economics(4 Years, Bachelor of Science)"
94,1194124,5393.0,IIT Goa,"Mathematics and  Computing(4 Years, B. Tech)"
133,1065201,5438.0,IIT Kharagpur,"Aerospace Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
139,1134136,5441.0,IIT Roorkee,"Production and  Industrial Engineering (4 Years, B. Tech)"
108,1174117,5500.0,IIT Guwahati,"Engineering Physics (4 Years, B. Tech)"
120,1124208,5511.5,IIT Patna,"Mathematics and  Computing(4 Years, Bachelor of Science)"
141,1064122,5518.0,IIT Kharagpur,"Manufacturing Science and  Engineering (4 Years, B. Tech)"
123,1044139,5547.0,IIT Delhi,"Textile Technology (4 Years, B. Tech)"
117,1104109,5672.0,IIT Madras,"Civil Engineering (4 Years, B. Tech)"
119,1184181,5681.0,IIT Bhilai,"Data Science and  Artificial Intelligence (4 Years, B. Tech)"
145,1174107,5771.0,IIT Guwahati,"Chemical Engineering (4 Years, B. Tech)"
92,1074117,5774.0,IIT Hyderabad,"Engineering Physics (4 Years, B. Tech)"
128,1094109,5841.0,IIT Kanpur,"Civil Engineering (4 Years, B. Tech)"
157,1065210,5894.5,IIT Kharagpur,"Chemical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
127,1104127,5947.0,IIT Madras,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
149,1174198,5986.0,IIT Guwahati,"Energy Engineering (4 Years, B. Tech)"
107,1084111,6027.0,IIT Jodhpur,"Electrical Engineering (4 Years, B. Tech)"
152,1135608,6051.0,IIT Roorkee,"Economics(5 Years, Bachelor of Science and  Master of Science( Dual Degree))"
135,1064109,6149.0,IIT Kharagpur,"Civil Engineering (4 Years, B. Tech)"
146,1014111,6309.0,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)"
154,1124144,6325.0,IIT Patna,"Electrical and  Electronics Engineering (4 Years, B. Tech)"
140,1094123,6377.5,IIT Kanpur,"Materials Science and  Engineering(4 Years, B. Tech)"
155,1204187,6391.0,IIT Palakkad,"Data Science and  Engineering (4 Years, B. Tech)"
138,1034111,6498.5,IIT Mandi,"Electrical Engineering (4 Years, B. Tech)"
134,1134109,6506.0,IIT Roorkee,"Civil Engineering (4 Years, B. Tech)"
132,1164125,6609.0,IIT (BHU) Varanasi,"Mechanical Engineering(4 Years, B. Tech)"
136,1074107,6643.0,IIT Hyderabad,"Chemical Engineering (4 Years, B. Tech)"
153,1064127,6726.5,IIT Kharagpur,"Metallurgical and  Materials Engineering (4 Years, B. Tech)"
